especie_agregada,id_especie_agregada
"BOVINOS CARNE Y LECHE, EQUINOS, PORCINOS, CAPRINOS, CANINOS Y FELINOS",86
"BOVINOS (CARNE Y LECHE), OVINOS, CAPRINOS (CARNE Y LECHE), PORCINOS (ADULTOS Y LECHONES), CANINOS Y FELINOS",87
"BOVINOS CARNE Y LECHE, EQUINOS NO DESTINADOS AL CONSUMO HUMANO, PORCINOS, CANINOS Y FELINOS",88
"BOVINOS (CARNE Y LECHE), EQUINOS, CAPRINOS, OVINOS, PORCINOS, CANINOS Y FELINOS",89
"BOVINOS CARNE Y LECHE, EQUINOS, PORICINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS",90
"EQUINOS, PORCINOS, CANINOS Y FELINOS",91
"BOVINOS DE ENGORDA, EQUINOS, PORCINOS, OVINOS, AVES COMO POLLOS DE ENGORDA, CANINOS Y FELINOS",92
"BOVINOS PROUCTORES DE CARNE Y LECHE, EQUINOS, PORCINOS, OVINOS, CAPRINOS, POLLOS DE ENGORDA, PAVOS, CANINOS Y FELINOS",93
"BOVINOS, OVINOS, PORCINOS, CAPRINOS, CANINOS Y FELINOS",94
"BOVINOS, OVINOS, CAPRINOS, EQUINOS, POERCINOS, CANINOS Y FELINOS AVES DE POSTURA Y COMBATE",95
"BOVINOS (ENGORDA), EQUINOS, PORCINOS, OVINOS, AVES (POLLOS DE ENGORDA), CANINOS Y FELINOS",96
"BOVINOS, PORCINOS, EQUINOS, CANINOS Y FELINOS",97
"BOVINOS, EQUINOS, OVINOS, PORCINOS, CAPRINOS, CANINOS Y FELINOS",98
"BOVINOS (CARNE Y LECHE)Y EQUINOS, OVINOS, CAPRINOS, PORCINOS, CANINOS Y FELINOS",99
"BOVINOS, EQUINOS, OVINOS, PORCINOS, CANINOS Y FELINOS, AVES Y CONEJOS",100
"BOVINOS (CARNE Y LECHE), EQUINOS, PORCINOS, CAP PVI CANINOS Y FELINOS",101
"BOVINOS CARNE Y LECHE, OVINOS, CAPRINOS, PROCINOS, CANINOS Y FELINOS",102
"BPVINOS, TERNEROS POTRILLOS, PORCINOS, OVINOS, CAPRINOS, LECHONES, CANINOS Y FELINOS",103
CANINOS Y FELINOS (HEMBRAS),104
CANINOS Y FELINOS (DOMESTICOS),105
CANINOS Y FELINOS DOMESTICOS,106
"CANINOS Y FELINOS, EQUINOS, CONEJOS",107
BOVINOS BECEROOS CANINOS Y FELINOS,108
"EQUINOS NO DESTINADOS AL CONSUMO HUMANO, CANINOS Y FELINOS",109
CANINOS Y FELINOS DOMESTICOS,110
CANINOS Y FELINOS DOMESTICOS,111
"BOVINOS, EQUINOS, PORCINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS",112
"OVINOS, CAPRINOS, CANINOS Y FELINOS",113
"HEMBRAS DE PROCINOS, BOVINOS, EQUINOS, CAPRINOS, OVINOS, CANINOS Y FELINOS",114
"BOVINSO PRODUCTORTES DE CRENE Y LECHE, PORCINOS, CAPRINOS, EQUINOS, OVINOS, CANINOS Y FELINOS",115
"BOVINOS PRODUCTORES DE CARNE, POLLO DE ENGORDA, AVES DE COMBATE, PORCINOS, CANINOS Y FELINOS",116
"BOVINOS, CAPRINOS DE ENGORDA Y LECHE, PORCINOS, CANINOS Y FELINOS ANTIBIOTICO, PARA EL TRATAMIENTO DE INFECCIONES BACTERIANAS SUSECTIBLES A LA PENICILINA G PROCAINA Y DIHIDROESTREPTOMICINA",117
"BOVINOS PRODUCTORES DE CARNE, EQUINOS, PORCINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS DOMESTICOS",118
"BOVINOS (ENGORDA Y PRODUCTORES DE LECHE), PORCINOS, OVINOS, CAPRINOS, EQUINOS, CANINOS Y FELINOS",119
"BOVINOS DE LECHE, EQUINOS, PORCINOS, CANINOS Y FELINOS",120
"BOVINOS, OVINOS Y CAPRINOS CARNE Y LECHE, PORCINOS, CANINOS Y FELINOS",121
"OVINOS, CAPRINOS CARNE Y LECHE, CANINOS Y FELINOS",122
"BOVINOS (CARNE Y LECHE), EQUINOS, PORCINOS, CANINOS Y FELINOS",123
"BOVINOS CARNE, PORCINOS, CANINOS Y FELINOS",124
"BOVINOS PRODUCTORES DE LECHE Y EQUINOS: 5 A 25MG/ DÍA 10 ML AL DIA, OVINOS, PORCINOS: 1 A 20MG/DÍA 2 A 10 ML/DÍA CANINOS Y FELINOS:0.25 A 1 MG POR DIA",125
CANINOS Y FELINOS DOMESNTIC,126
"CANINOS Y FELINOS, EQUINOS",127
"BOVINOS PRODUCTORES DE CARNE Y LECHE, EQUINOS, CANINOS Y FELINOS",128
"BOVINOS, PORCINOS, EQUINOS CANINOS Y FELINOS DOMESTIOCOS",129
"DOSIS: BOVINOS CARNE Y LECHE, EQUINOS, PORCINOS, CAPRINOS CANINOS Y FELINOS",130
"BOVINOS CARNE LECHE, EQUINOS, PROCINOS, OVINOS, CAPRINOS AVES (ENGORDA, REPRODUTORAS, REMPLAZO) CANINOS Y FELINOS",131
"EQUINOS DE TRABAJO Y DE DEPORTE, CANINOS Y FELINOS DOMESTICOS",132
